matricule,CIN,nom,prenom,email
TC,1991-11-03,Waldron,Devina,Waldron.Devina@yopmail.com
US,1986-01-23,Therine,Kaia,Therine.Kaia@yopmail.com
RE,1921-10-31,Loeb,Molli,Loeb.Molli@yopmail.com
NR,1984-09-15,Jacobah,Merry,Jacobah.Merry@yopmail.com
SD,2010-06-26,Mehalek,Fidelia,Mehalek.Fidelia@yopmail.com
BW,1984-07-30,Tjon,Clo,Tjon.Clo@yopmail.com
AU,1972-04-27,Stanwood,Devina,Stanwood.Devina@yopmail.com
NU,1915-11-30,Caitlin,Ariela,Caitlin.Ariela@yopmail.com
HR,1981-01-23,Louanna,Tiffie,Louanna.Tiffie@yopmail.com
IM,1988-03-09,Havens,Margalo,Havens.Margalo@yopmail.com
